inspection_id,component_id,task_id,floor_zone,component_type,inspection_round,install_time,inspection_time,record_created_time,vertical_deviation_value,deviation_unit,grout_strength_mpa,inspector_team,result_recorded,rework_flag,revision_flag,source_system
QI-0170,CMP-0141,TSK-015,F01-C,beam,1,2025-06-23 10:15,2025-06-23 11:56,2025-06-23 17:06,5.80,mm,44.0,TEAM_B,fail,true,false,site_tablet
QI-0274,CMP-0231,TSK-024,F01-C,wall_panel,1,2025-03-08 10:45,2025-03-08 22:37,2025年03月10日 09:50,4.16,mm,60.9,TEAM_A,pass,false,false,quality_app
QI-0069,CMP-0058,TSK-006,F08-C,column,1,2025-05-28 13:15,2025-05-28 18:41,2025-06-03 05:41,3.02,mm,39.8,TEAM_B,fail,true,false,quality_system
QI-0079,CMP-0066,TSK-007,F06-A,stair,1,2025-05-01 13:45,not_a_time,2025-05-02 07:04,5.33,mm,53.4,TEAM_B,fail,true,false,site_tablet
QI-0050,CMP-0041,TSK-005,F01-B,column,2,2025-04-15 15:30,18-04-2025 20:57,2025-04-18 21:55,3.10,mm,50.3,TEAM_C,pass,true,false,quality_app
QI-0302,CMP-0252,TSK-026,F02-B,slab,1,2025-03-14 10:30,2025-03-14 21:00,2025-03-15 15:42,2.95,mm,48.2,TEAM_A,pass,false,false,quality_app
QI-0113,CMP-0095,TSK-010,F05-A,wall_panel,1,2025/07/25 15:15,2025-07-26 07:10,2025-07-27 03:53,5.42,mm,37.4,TEAM_A,fail,true,false,site_tablet
QI-0183,CMP-0153,TSK-016,F03-A,wall_panel,2,2025-06-06 15:30,2025-06-10 18:44,2025-06-11 04:58,1.55,毫米?,47.7,TEAM_B,pass,true,false,quality_system
QI-0243,CMP-0205,TSK-021,F05-C,column,1,2025-04-10 10:45,2025-04-10 13:12,2025-04-11 15:31,3.27,mm,54.1,TEAM_C,pass,false,false,quality_system
QI-0300,CMP-0250,TSK-025,F10-A,column,2,2025-08-09 16:00,2025-08-14 22:14,2025-08-15 08:37,3.24,mm,49.9,TEAM_A,pass,true,false,site_tablet
QI-0209,CMP-0175,TSK-018,F05-C,slab,1,2025-05-21 07:15,2025-05-21 17:47,2025-05-21 19:31,4.26,mm,52.8,TEAM_C,pass,false,false,site_tablet
QI-0283,CMP-0240,TSK-024,F10-C,wall_panel,1,2025/08/15 07:30,2025-08-16 01:44,2025-08-17 13:46,4.13,mm,48.6,TEAM_B,pass,false,false,site_tablet
QI-0054,CMP-0045,TSK-005,F05-B,column,1,2025-03-23 16:15,2025-03-24 11:53,2025-03-24 15:16,1.30,mm,42.2,TEAM_C,pass,false,false,quality_app
QI-0184,CMP-0154,TSK-016,F04-A,wall_panel,1,2025-06-23 16:45,2025-06-23 21:19,2025-06-24 10:48,3.08,mm,39.5,C班,fail,true,false,quality_system
QI-0127,CMP-0107,TSK-011,F07-B,wall_panel,1,2025-07-24 08:00,2025-07-24 19:20,2025-07-25 13:41,0.292,cm,47.8,TEAM_C,pass,false,false,site_tablet
QI-0023,CMP-0020,TSK-002,F10-B,wall_panel,2,2025-08-28 14:15,2025-08-31 18:53,2025-09-02 04:37,2.65,mm,53.1,临时班,pass,true,false,site_tablet
QI-0080,CMP-0067,TSK-007,F07-A,wall_panel,1,2025-08-05 07:00,2025-08-05 15:28,2025-08-05 18:57,2.55,mm,35.9,TEAM_C,pass,true,false,site_tablet
QI-0082,CMP-0068,TSK-007,F08-A,beam,1,2025-08-05 12:00,2025-08-05 22:44,2025-08-06 09:24,4.74,mm,49.3,TEAM_A,pass,false,false,quality_app
QI-0100,CMP-0085,TSK-009,F05-C,slab,1,2025-05-07 07:45,2025-05-08 03:27,2025-05-09 07:11,1.42,mm,50.4,A班,pass,false,false,site_tablet
QI-0343,CMP-0289,TSK-029,F09-B,wall_panel,1,2025-03-17 16:45,2025-03-17 22:18,2025-03-19 17:38,4.14,unknown_unit,41.1,TEAM_B,pass,false,false,site_tablet
QI-0223,CMP-0188,TSK-019,F08-A,beam,1,2025-05-29 13:00,2025-05-29 18:24,2025-05-30 22:02,3.35,mm,45.4,TEAM_B,pass,false,false,quality_app
QI-0055,CMP-0046,TSK-005,F06-B,column,1,2025-06-21 13:45,2025-06-22 02:15,2025-06-23 21:40,3.56,mm,59.2,TEAM_B,pass,false,false,quality_system
QI-0036,CMP-0031,TSK-004,F01-A,beam,1,2025-05-30 13:30,2025-05-30 17:28,2025-06-01 07:42,2.46,mm,46.7,TEAM_A,待定,false,false,site_tablet
QI-0168,CMP-0140,TSK-014,F10-B,slab,1,2025-04-11 11:00,11-04-2025 15:52,2025-04-12 04:14,4.91,mm,39.0,TEAM_C,fail,true,false,site_tablet
QI-0304,CMP-0253,TSK-026,F03-B,beam,2,2025-06-12 11:00,2025-06-17 14:30,2025-06-17 15:12,1.57,mm,52.2,TEAM_C,pass,true,false,quality_app
QI-0059,CMP-0050,TSK-005,F10-B,stair,1,2025-03-04 10:30,2025-03-05 03:34,2025-03-05 22:50,0.015,cm,49.7,TEAM_B,pass,false,false,quality_app
QI-0001,N/A,TSK-001,F01-A,wall_panel,1,2025-05-09 07:30,2025-05-09 19:53,2025-05-11 05:16,1.59,mm,38.4,TEAM_C,fail,true,false,quality_app
QI-0016,CMP-0014,TSK-002,F04-B,wall_panel,1,2025-07-13 12:00,2025-07-13 19:31,2025-07-15 13:46,0.403,cm,41.7,TEAM_C,pass,false,false,site_tablet
QI-0158,CMP-0132,TSK-014,F02-B,wall_panel,1,2025-07-08 09:30,2025-07-08 15:07,2025-07-09 01:24,2.70,mm,41.8,TEAM_C,合格,false,false,site_tablet
QI-0323,CMP-0271,TSK-028,F01-A,column,1,2025-03-24 16:30,2025-03-25 07:42,2025-03-26 23:10,0.500,cm,51.6,TEAM_C,fail,true,false,site_tablet
QI-0310,CMP-0259,TSK-026,F09-B,slab,1,2025-03-19 08:15,2025-03-19 09:16,2025年03月20日 22:05,3.54,mm,45.6,TEAM_C,pass,false,false,site_tablet
QI-0147,CMP-0122,TSK-013,F02-A,wall_panel,1,2025/06/13 09:30,2025-06-13 15:07,2025-06-14 10:10,4.21,mm,53.7,TEAM_A,pass,false,false,site_tablet
QI-0324,CMP-0271,TSK-028,F01-A,column,2,2025-03-24 16:30,2025-03-31 00:11,2025-04-05 18:11,2.77,mm,41.6,TEAM_B,pass,true,false,site_tablet
QI-0117,CMP-0099,TSK-010,F09-A,beam,1,2025-04-24 12:45,2025-04-25 05:50,2025-04-25 09:14,3.05,mm,48.6,TEAM_B,pass,N,false,quality_system
QI-0028,CMP-0025,TSK-003,F05-C,beam,1,2025-07-28 15:45,2025-07-28 20:56,2025-07-28 23:24,1.70,mm,46.4,TEAM_B,pass,false,false,site_tablet
QI-0122,CMP-0102,TSK-011,F02-B,wall_panel,1,2025-03-20 16:15,2025-03-20 19:40,2025-03-21 02:31,0.430,cm,44.8,TEAM_C,pass,false,false,quality_app
QI-0021,CMP-0019,TSK-002,F09-B,wall_panel,1,2025-05-17 09:15,2025-05-17 22:20,2025-05-18 10:45,3.29,mm,43.3,TEAM_A,通过,false,false,quality_app
QI-0111,CMP-0093,TSK-010,F03-A,wall_panel,1,2025-08-24 07:00,2025-08-24 13:55,2025-08-24 15:10,4.15,mm,45.3,TEAM_B,pass,false,false,quality_system
QI-0087,CMP-0072,TSK-008,F02-B,beam,2,2025-07-12 15:00,2025-07-17 19:03,2025-07-19 12:23,3.62,mm,44.7,TEAM_C,通过,true,false,site_tablet
QI-0175,CMP-0146,TSK-015,F06-C,column,1,2025-06-07 14:45,2025-06-07 18:54,2025-06-08 06:02,2.54,mm,47.7,TEAM_B,pass,false,false,site_tablet
QI-0256,CMP-0215,TSK-022,F05-A,column,2,2025-04-18 08:15,2025-04-24 11:22,2025-04-24 23:35,2.89,mm,45.7,team_a,pass,true,false,quality_system
QI-0129,CMP-0108,TSK-011,F08-B,wall_panel,1,2025-05-11 09:15,2025-05-12 01:35,2025-05-13 05:52,4.39,mm,54.3,TEAM_C,pass,false,false,quality_app
QI-0237,CMP-0200,TSK-020,F10-B,slab,1,2025-08-17 12:30,2025-08-18 05:45,2025-08-18 15:29,2.88,mm,49.8,TEAM_A,pass,false,false,quality_app
QI-0063,CMP-0053,TSK-006,F03-C,column,1,2025-08-13 09:15,2025-08-13 19:30,2025-08-14 04:32,1.79,mm,53.8,team_b,pass,false,false,quality_app
QI-0249,CMP-0210,TSK-021,F10-C,column,2,2025/08/20 14:45,2025-08-26 17:31,2025-08-27 09:28,2.30,mm,57.1,TEAM_B,pass,true,false,site_tablet
QI-0267,CMP-0224,TSK-023,F04-B,beam,1,2025-06-18 09:45,2025-06-18 23:02,2025-06-20 17:04,4.36,mm,50.2,TEAM_X,pass,false,false,quality_system
QI-0095,CMP-0080,TSK-008,F10-B,slab,1,2025-08-06 13:15,2025-08-06 16:56,2025-08-08 09:21,4.22,mm,37.2,TEAM_B,pass,true,false,quality_app
QI-0197,CMP-0166,TSK-017,F06-B,wall_panel,1,2025-04-23 15:15,2025-04-23 10:15,2025-04-24 08:26,3.72,mm,42.0,TEAM_B,pass,false,false,quality_system
QI-0358,CMP-0299,TSK-030,F09-C,slab,2,2025-04-18 10:45,2025-04-20 18:37,2025-04-21 21:21,2.56,mm,46.7,TEAM_C,pass,false,false,quality_system
NA,CMP-0251,TSK-026,F01-B,stair,1,2025-06-24 07:45,2025-06-24 23:30,2025-06-25 11:11,4.52,mm,41.8,TEAM_A,pass,false,false,site_tablet
QI-0047,CMP-0039,TSK-004,F09-A,column,1,2025-05-08 10:45,2025-05-08 23:51,2025-05-10 11:00,5.20,mm,48.1,TEAM_C,fail,Y,false,quality_app
QI-0146,CMP-0121,TSK-013,F01-A,wall_panel,2,2025-03-05 15:15,2025-03-11 21:53,2025-03-12 21:11,4.08,mm,50.0,TEAM_C,pass,true,false,quality_app
QI-0293,CMP-0246,TSK-025,F06-A,column,1,2025-07-12 08:15,2025-07-12 11:17,2025-07-13 22:47,4.90,mm,55.6,team_b,pass,false,false,site_tablet
QI-0173,CMP-0144,TSK-015,F04-C,stair,1,2025-06-20 13:30,2025-06-20 15:04,31/31/2025,5.06,mm,47.9,TEAM_C,fail,true,false,site_tablet
QI-0035,CMP-0030,TSK-003,F10-C,stair,,2025-05-04 09:15,2025-05-08 16:57,2025-05-09 02:28,2.36,mm,57.7,TEAM_B,pass,true,false,quality_app
QI-0207,CMP-0173,TSK-018,F03-C,column,1,2025-06-11 11:45,12-06-2025 03:18,2025-06-13 17:16,4.30,mm,50.8,TEAM_A,pass,false,false,quality_system
QI-0290,CMP-0244,TSK-025,F04-A,stair,1,2025-06-17 10:00,2025-06-18 01:48,2025-06-19 13:21,2.12,mm,49.9,TEAM_A,pass,false,false,site_tablet
QI-0013,CMP-0011,TSK-002,F01-B,slab,1,2025-05-26 14:15,26-05-2025 23:23,2025-05-28 02:09,1.27,mm,61.1,TEAM_B,pass,false,false,quality_app
QI-0342,CMP-0288,TSK-029,F08-B,wall_panel,1,2025-08-26 08:15,2025-08-26 17:02,2025-08-28 06:20,-1.22,mm,52.5,TEAM_B,pass,false,false,site_tablet
QI-0340,CMP-0286,TSK-029,F06-B,beam,2,2025-05-07 14:30,2025-05-12 20:57,2025-05-17 20:57,2.67,mm,46.6,TEAM_C,pass,true,false,quality_system
QI-0213,CMP-0179,TSK-018,F09-C,beam,1,2025/07/21 16:00,2025-07-22 01:44,2025-07-22 20:15,0.15,mm,54.4,TEAM_C,pass,false,false,site_tablet
QI-0006,CMP-0005,TSK-001,F05-A,wall_panel,1,2025-07-20 13:30,2025-07-21 01:06,2025-07-21 15:59,3.22,mm,47.1,Team A,pass,false,false,site_tablet
QI-0337,CMP-0284,TSK-029,F04-B,stair,1,2025-07-14 12:00,2025-07-15 07:20,2025-07-16 12:25,14.00,mm,45.9,TEAM_A,fail,false,false,site_tablet
QI-0258,CMP-0217,TSK-022,F07-A,wall_panel,1,2025-03-09 12:00,2025-03-10 06:14,2025-03-10 23:59,4.68,mm,56.3,TEAM_C,PASS,false,false,quality_system
QI-0328,CMP-0275,TSK-028,F05-A,column,1,2025-08-19 16:30,2025-08-20 10:04,2025-08-21 21:58,4.22,mm,47.1,TEAM_C,pass,N,false,site_tablet
QI-0277,CMP-0234,TSK-024,F04-C,beam,1,2025-05-07 14:00,2025-05-07 22:06,2025-05-08 04:13,5.95,mm,51.9,TEAM_C,fail,true,false,site_tablet
QI-0353,CMP-0296,TSK-030,F06-C,wall_panel,1,2025-08-22 07:00,2025-08-22 19:09,2025-08-22 23:06,2.46,mm,56.7,TEAM_A,pass,NA,false,quality_system
QI-0254,CMP-0214,TSK-022,F04-A,slab,2,2025-05-08 13:00,2025-05-10 17:31,2025-05-11 17:02,2.60,mm,50.9,TEAM_A,pass,true,false,quality_system
QI-0134,CMP-0111,TSK-012,F01-C,slab,2,2025-06-02 15:15,2025-06-06 16:51,2025-06-07 20:22,0.229,cm,41.0,TEAM_B,pass,true,false,quality_app
QI-0257,CMP-0216,TSK-022,F06-A,slab,1,2025-04-03 11:00,2025-04-03 20:32,2025年04月05日 08:18,5.67,mm,46.3,TEAM_A,fail,true,false,quality_system
QI-0110,CMP-0092,TSK-010,F02-A,column,2,2025-04-19 14:00,2025-04-22 17:12,2025年04月23日 00:34,4.11,mm,55.7,TEAM_C,pass,true,false,site_tablet
QI-0094,CMP-0079,TSK-008,F09-B,wall_panel,1,2025-03-31 08:00,2025-03-31 13:54,2025-04-01 12:34,5.14,mm,43.2,TEAM_C,FAIL,true,false,quality_system
QI-0131,CMP-0110,TSK-011,F10-B,slab,1,2025-07-31 07:00,2025-07-31 15:07,2025-08-01 09:55,3.47,mm,50.9,TEAM_C,pass,false,false,quality_system
QI-0299,CMP-0250,TSK-025,F10-A,column,1,2025-08-09 16:00,2025-08-10 07:35,2025-08-11 19:36,4.92,mm,51.8,TEAM_C,maybe,false,false,site_tablet
QI-0266,CMP-0223,TSK-023,F03-B,beam,1,2025-06-03 07:15,2025-06-03 18:34,2025-06-04 11:10,3.23,mm,47.1,TEAM_C,通过,false,false,quality_system
QI-0189,CMP-0159,TSK-016,F09-A,beam,1,2025-07-27 07:45,2025-07-27 16:26,2025-07-27 21:21,1.76,mm,,TEAM_B,pass,false,false,quality_system
QI-0235,--,TSK-020,F08-B,slab,1,2025-05-12 11:45,2025-05-13 02:55,2025-05-14 19:21,2.51,mm,34.1,TEAM_B,fail,true,false,site_tablet
QI-0191,CMP-0161,TSK-017,F01-B,wall_panel,1,2025-03-19 10:30,20-03-2025 01:39,2025-03-21 01:20,2.04,mm,48.0,TEAM_B,pass,false,false,quality_app
QI-0086,CMP-0072,TSK-008,F02-B,beam,1,2025-07-12 15:00,2025-07-13 04:19,2025-07-14 22:53,2.26,mm,47.3,TEAM_B,pass,false,false,site_tablet
QI-0178,CMP-0149,TSK-015,F09-C,column,1,2025-08-21 11:45,2025-08-22 00:49,2025-08-22 09:01,7.73,mm,43.7,TEAM_C,fail,true,false,quality_system
QI-0115,CMP-0097,TSK-010,F07-A,beam,1,2025-07-29 12:30,2025-07-30 01:55,2025-07-31 10:21,--,mm,52.8,TEAM_B,pass,false,false,quality_system
QI-0061,CMP-0051,TSK-006,F01-C,stair,2,2025-06-27 07:30,2025-07-02 11:50,2025-07-03 17:24,12.89,mm,54.0,TEAM_B,fail,true,false,quality_system
QI-0098,CMP-0083,TSK-009,F03-C,wall_panel,1,2025-06-23 08:45,2025-06-23 10:36,2025-06-24 10:14,4.09,mm,55.2,TEAM_C,pass,false,false,quality_system
QI-0331,CMP-0278,TSK-028,F08-A,column,1,2025-07-16 16:45,17-07-2025 02:40,2025-07-18 23:20,4.46,mm,62.7,TEAM_A,pass,false,false,site_tablet
QI-0263,CMP-0221,TSK-023,F01-B,beam,1,2025-04-08 08:15,2025-04-08 16:41,2025-04-10 11:01,8.22,mm,56.8,TEAM_A,fail,false,false,quality_app
QI-0156,CMP-0130,TSK-013,F10-A,wall_panel,1,2025-03-17 08:00,2025-03-17 14:12,2025-03-19 09:54,2.04,mm,42.8,TEAM_C,pass,false,false,site_tablet
QI-0272,CMP-0229,TSK-023,F09-B,slab,1,2025-06-04 08:15,2025-06-04 23:08,2025-06-05 22:39,4.59,mm,43.6,TEAM_C,通过,false,false,quality_app
QI-0295,CMP-0247,TSK-025,F07-A,slab,2,2025-05-16 11:30,21-05-2025 16:07,2025-05-22 16:03,1.02,mm,48.7,TEAM_B,pass,true,false,site_tablet
QI-0093,CMP-0078,TSK-008,F08-B,slab,1,2025-03-03 16:30,2025-03-04 09:07,2025-03-06 01:51,0.401,cm,45.4,TEAM_A,pass,false,false,site_tablet
QI-0066,CMP-0056,--,F06-C,slab,1,2025-08-23 16:45,2025-08-24 10:43,2025-08-25 00:49,1.83,mm,46.4,TEAM_B,pass,false,false,quality_app
QI-0119,CMP-0100,TSK-010,F10-A,slab,2,2025-03-10 11:00,2025-03-15 15:23,2025-03-16 01:20,1.92,mm,43.1,TEAM_A,pass,true,false,quality_system
QI-0180,CMP-0151,TSK-016,F01-A,slab,1,2025-08-10 11:15,2025-08-11 05:43,2025-08-11 20:28,1.13,mm,53.0,TEAM_A,PASS,false,false,site_tablet
QI-0333,CMP-0280,TSK-028,F10-A,beam,1,2025-05-11 12:30,2025-05-12 04:37,2025-05-13 18:07,3.68,mm,54.4,TEAM_B,pass,否,false,site_tablet
QI-0322,CMP-0270,TSK-027,F10-C,beam,1,2025-06-12 11:00,2025-06-12 13:38,2025-06-12 20:40,65.27,mm,43.5,TEAM_C,fail,true,false,quality_system
QI-0068,CMP-0057,TSK-006,F07-C,wall_panel,1,2025-04-17 11:45,2025-04-18 04:28,2025-04-18 20:55,0.093,cm,51.3,TEAM_B,pass,false,false,quality_app
QI-0230,CMP-0193,TSK-020,F03-B,wall_panel,1,2025-06-14 15:30,2025-06-15 00:50,2025-06-16 17:56,2.05,mm,46.0,TEAM_B,pass,false,false,site_tablet
QI-0261,CMP-0220,TSK-022,F10-A,beam,1,2025-06-18 15:00,2025-06-18 19:10,2025-06-19 23:05,2.23,mm,45.5,TEAM_A,pass,false,false,quality_app
QI-0182,CMP-0153,TSK-016,F03-A,wall_panel,1,2025-06-06 15:30,2025-06-06 09:30,2025-06-08 06:11,3.88,mm,34.5,TEAM_A,fail,true,false,quality_app
QI-0070,CMP-0059,TSK-006,F09-C,wall_panel,1,2025-03-20 13:15,21-03-2025 02:12,2025-03-21 08:59,5.12,mm,59.4,TEAM_A,fail,true,false,site_tablet
QI-0334,CMP-0281,TSK-029,F01-B,slab,1,2025-05-23 11:15,2025-05-23 21:45,2025-05-24 01:20,0.458,cm,36.2,TEAM_A,fail,true,false,quality_system
QI-0123,CMP-0103,TSK-011,F03-B,column,1,2025-03-26 16:00,2025-03-26 23:36,2025-03-27 15:38,2.06,mm,39.2,TEAM_A,fail,Y,false,quality_app
QI-0294,CMP-0247,TSK-025,F07-A,slab,1,2025-05-16 11:30,2025-05-17 04:07,2025-05-17 08:07,,mm,49.5,TEAM_B,pass,false,false,quality_app
QI-0150,CMP-0125,TSK-013,F05-A,slab,1,2025-06-05 12:15,2025-06-05 13:58,2025-06-07 03:53,4.83,mm,38.5,TEAM_B,fail,true,false,site_tablet
QI-REV-002,CMP-0110,TSK-011,F10-B,slab,1,2025-07-31 07:00,2025-07-31 15:07,2025-08-02 11:55,3.47,mm,50.9,TEAM_C,pass,false,true,quality_system
QI-0011,CMP-0009,TSK-001,F09-A,column,1,2025-05-31 14:30,2025-05-31 21:14,2025-06-02 02:57,4.60,mm,49.2,TEAM_B,pass,false,false,quality_app
QI-0200,CMP-0169,TSK-017,F09-B,stair,1,2025-03-29 15:45,2025-03-30 08:57,2025-03-30 22:05,3.66,mm,50.0,TEAM_A,pass,false,false,site_tablet
QI-0024,CMP-0021,TSK-003,F01-C,stair,1,2025-08-29 11:30,2025-08-29 19:34,2025年08月31日 08:30,1.02,mm,45.9,TEAM_A,pass,false,false,site_tablet
QI-0233,CMP-0196,TSK-020,F06-B,slab,1,2025-05-18 09:15,2025-05-18 16:56,2025-05-19 11:14,0.286,cm,44.3,TEAM_B,pass,false,false,quality_app
QI-0052,CMP-0043,TSK-005,F03-B,stair,1,2025-07-09 16:30,2025-07-10 11:16,2025-07-10 23:18,0.555,cm,52.5,TEAM_C,fail,true,false,site_tablet
QI-0045,CMP-0038,TSK-004,F08-A,beam,1,2025-05-12 14:15,2025-05-13 01:46,2025-05-13 20:01,2.22,mm,52.1,team_a,pass,false,false,site_tablet
QI-0345,CMP-0290,TSK-029,F10-B,column,1,2025-05-07 12:00,2025-05-07 18:49,2025-05-09 10:13,6.25,mm,52.7,TEAM_B,fail,Y,false,quality_app
QI-0114,CMP-0096,TSK-010,F06-A,wall_panel,1,2025-08-17 14:45,2025-08-18 09:36,2025-08-18 20:39,3.99,mm,56.0,TEAM_A,pass,false,false,quality_app
QI-0090,CMP-0075,TSK-008,F05-B,wall_panel,1,2025/08/01 10:45,2025-08-02 04:51,2025-08-02 15:23,3.71,mm,42.3,TEAM_A,pass,false,false,site_tablet
QI-0268,CMP-0225,TSK-023,F05-B,stair,1,2025-07-29 07:15,2025-07-29 23:24,2025-07-30 20:05,3.43,mm,37.1,TEAM_A,fail,1,false,quality_system
QI-0186,CMP-0156,TSK-016,F06-A,beam,1,2025-07-14 08:00,2025-07-14 15:21,2025-07-15 19:58,0.319,cm,54.1,TEAM_B,pass,false,false,quality_app
QI-0281,CMP-0238,TSK-024,F08-C,wall_panel,1,2025-06-14 07:15,2025-06-14 21:45,2025-06-15 03:53,7.75,mm,51.3,TEAM_C,fail,true,false,quality_system
QI-0357,CMP-0299,TSK-030,F09-C,slab,1,2025-04-18 10:45,2025-04-18 15:17,2025-04-19 03:03,5.95,mm,42.2,TEAM_B,fail,true,false,quality_system
QI-0282,CMP-0239,TSK-024,F09-C,slab,1,2025-05-13 08:15,2025-05-13 22:35,2025-05-18 15:35,3.20,mm,41.7,TEAM_C,pass,false,false,site_tablet
QI-0106,CMP-0089,TSK-009,F09-C,column,1,2025-07-11 12:45,2025-07-11 15:50,2025-07-11 22:25,3.89,mm,31.8,TEAM_A,fail,true,false,quality_app
QI-0321,CMP-0269,TSK-027,F09-C,slab,1,2025-03-13 08:45,2025-03-13 13:07,2025-03-13 15:31,2.93,mm,43.2,TEAM_C,fail,false,false,quality_system
QI-0108,CMP-0091,TSK-010,F01-A,column,1,2025-04-20 16:30,2025-04-21 11:29,2025-04-22 12:08,3.04,mm,53.5,TEAM_C,fail,false,false,quality_app
QI-0355,CMP-0297,TSK-030,F07-C,column,1,2025-05-26 09:30,2025-05-27 01:18,2025-05-27 12:17,2.84,mm,39.9,TEAM_B,fail,true,false,quality_app
QI-0163,CMP-0135,TSK-014,F05-B,wall_panel,2,2025-05-15 14:00,2025-05-20 19:41,2025-05-22 13:51,1.25,mm,47.1,TEAM_C,pass,1,false,quality_system
QI-0195,CMP-0164,TSK-017,F04-B,beam,2,2025-04-20 13:45,2025-04-22 15:17,2025-04-23 07:59,2.28,mm,55.1,NA,pass,true,false,site_tablet
QI-0347,CMP-0292,TSK-030,F02-C,beam,1,2025-08-04 15:00,2025-08-05 05:51,2025-08-05 17:59,0.277,cm,48.4,TEAM_C,pass,false,false,quality_app
QI-0275,CMP-0232,TSK-024,F02-C,slab,1,2025-05-31 09:45,2025-06-01 03:24,2025-06-01 14:16,0.310,cm,46.4,TEAM_C,pass,false,false,site_tablet
QI-0217,CMP-0182,TSK-019,F02-A,slab,2,2025-08-07 08:45,2025-08-11 10:00,2025-08-11 13:21,1.38,mm,53.9,TEAM_C,pass,true,false,quality_system
QI-0153,CMP-0127,TSK-013,F07-A,beam,1,2025-07-26 12:00,2025-07-26 17:07,2025-07-28 11:01,5.07,mm,59.0,TEAM_C,不通过,true,false,quality_system
QI-REV-006,CMP-0253,TSK-026,F03-B,beam,2,2025-06-12 11:00,2025-06-17 14:30,2025-06-18 21:12,1.57,mm,52.2,TEAM_C,pass,true,true,quality_app
QI-0067,CMP-0056,TSK-006,F06-C,slab,2,2025-08-23 16:45,2025-08-27 18:32,2025-08-27 23:04,3.04,mm,116.8,TEAM_B,pass,true,false,quality_system
QI-0142,CMP-0118,TSK-012,F08-C,slab,1,2025-06-05 07:00,2025-06-05 11:27,2025-06-06 15:38,3.33,mm,--,TEAM_B,pass,false,false,quality_app
QI-0187,CMP-0157,TSK-016,F07-A,column,1,2025/05/31 12:00,2025-05-31 14:41,2025-06-01 08:30,1.16,mm,42.8,TEAM_A,pass,false,false,quality_system
QI-0161,CMP-0134,TSK-014,F04-B,wall_panel,2,2025-06-13 09:15,2025-06-16 16:43,2025-06-18 10:51,2.77,mm,51.4,C班,pass,true,false,site_tablet
QI-0003,CMP-0002,TSK-001,F02-A,stair,1,2025-06-17 13:30,2025-06-18 03:33,2025-06-19 07:50,4.23,mm,54.5,TEAM_B,pass,false,false,quality_system
QI-0349,CMP-0293,TSK-030,F03-C,wall_panel,2,2025-08-15 16:00,2025-08-19 20:23,2025-08-21 02:06,0.13,mm,52.3,A班,pass,true,false,site_tablet
QI-0152,CMP-0126,TSK-013,F06-A,wall_panel,1,2025-04-25 07:30,2025-04-25 17:13,2025-04-26 18:16,2.51,mm,41.1,TEAM_A,pass,false,false,quality_system
