project_id,date,zone_id,construction_stage,electricity_kwh,diesel_l,equipment_hours,active_workers,temperature_c,rainfall_mm,electricity_factor_kgco2e_kwh,diesel_factor_kgco2e_l,carbon_kgco2e,data_quality_flag
PRJ-QM-001,2025-03-10,C,site_preparation,173.57,36.75,9.5,18,11.7,0.0,0.55,2.68,193.95,ok
PRJ-QM-001,2025-03-11,A,site_preparation,239.84,43.78,13.4,19,12.9,0.0,0.55,2.68,249.24,ok
PRJ-QM-001,2025-03-11,B,site_preparation,221.24,43.97,8.8,18,12.9,0.0,0.55,2.68,239.52,ok
PRJ-QM-001,2025-03-11,C,site_preparation,280.84,29.36,10.1,22,12.9,0.0,0.55,2.68,233.15,ok
PRJ-QM-001,2025-03-12,A,site_preparation,272.04,52.73,14.9,20,14.1,2.1,0.55,2.68,290.94,ok
PRJ-QM-001,2025-03-12,B,site_preparation,227.74,64.11,15.3,17,14.1,2.1,0.55,2.68,297.07,ok
PRJ-QM-001,2025-03-12,C,site_preparation,127.81,33.33,6.5,15,14.1,2.1,0.55,2.68,159.62,ok
PRJ-QM-001,2025-03-13,A,site_preparation,265.22,61.69,13.0,19,13.6,0.0,0.55,2.68,311.2,ok
PRJ-QM-001,2025-03-13,B,site_preparation,184.31,55.38,12.9,23,13.6,0.0,0.55,2.68,249.79,ok
PRJ-QM-001,2025-03-13,C,site_preparation,228.71,49.63,13.7,14,13.6,0.0,0.55,2.68,258.8,ok
PRJ-QM-001,2025-03-14,A,site_preparation,224.94,27.43,9.7,18,13.0,0.0,0.55,2.68,197.23,ok
PRJ-QM-001,2025-03-14,B,site_preparation,221.53,50.81,13.2,18,13.0,0.0,0.55,2.68,258.01,ok
PRJ-QM-001,2025-03-14,C,site_preparation,173.15,39.26,9.1,15,13.0,0.0,0.55,2.68,200.45,ok
PRJ-QM-001,2025-03-15,A,site_preparation,150.21,46.08,9.3,22,14.2,0.0,0.55,2.68,206.11,ok
PRJ-QM-001,2025-03-15,B,site_preparation,230.86,38.73,11.0,16,14.2,0.0,0.55,2.68,230.77,ok
PRJ-QM-001,2025-03-15,C,site_preparation,126.1,26.98,5.3,13,14.2,0.0,0.55,2.68,141.66,ok
PRJ-QM-001,2025-03-16,A,site_preparation,103.26,24.26,0.5,7,14.9,0.0,0.55,2.68,121.81,ok
PRJ-QM-001,2025-03-16,B,site_preparation,150.27,24.0,7.4,9,14.9,0.0,0.55,2.68,146.97,ok
PRJ-QM-001,2025-03-16,C,site_preparation,76.73,24.39,4.4,8,14.9,0.0,0.55,2.68,107.57,ok
PRJ-QM-001,2025-03-17,A,site_preparation,265.43,40.83,11.4,23,13.5,0.0,0.55,2.68,255.41,ok
PRJ-QM-001,2025-03-17,B,site_preparation,144.22,40.74,7.3,11,13.5,0.0,0.55,2.68,188.5,ok
PRJ-QM-001,2025-03-17,C,site_preparation,166.66,46.86,5.3,19,13.5,0.0,0.55,2.68,217.25,ok
PRJ-QM-001,2025-03-18,A,site_preparation,253.47,49.82,12.6,18,15.4,0.0,0.55,2.68,272.93,ok
PRJ-QM-001,2025-03-18,B,site_preparation,,31.29,6.6,19,15.4,0.0,0.55,2.68,,missing_electricity
PRJ-QM-001,2025-03-18,C,site_preparation,168.64,54.41,6.9,14,15.4,0.0,0.55,2.68,238.57,ok
PRJ-QM-001,2025-03-19,A,site_preparation,210.35,53.09,11.0,28,14.4,0.0,0.55,2.68,257.97,ok
PRJ-QM-001,2025-03-19,B,site_preparation,207.72,44.01,10.4,25,14.4,0.0,0.55,2.68,232.19,ok
PRJ-QM-001,2025-03-19,C,site_preparation,204.42,40.75,11.4,18,14.4,0.0,0.55,2.68,221.64,ok
PRJ-QM-001,2025-03-20,A,site_preparation,178.54,68.41,10.8,15,16.0,0.0,0.55,2.68,281.54,ok
PRJ-QM-001,2025-03-20,B,site_preparation,199.65,31.04,9.2,14,16.0,0.0,0.55,2.68,192.99,ok
PRJ-QM-001,2025-03-20,C,site_preparation,167.85,40.91,9.4,15,16.0,0.0,0.55,2.68,201.96,ok
PRJ-QM-001,2025-03-21,A,site_preparation,203.6,41.77,10.1,21,13.5,1.7,0.55,2.68,223.92,ok
PRJ-QM-001,2025-03-21,B,site_preparation,228.68,28.04,7.1,19,13.5,1.7,0.55,2.68,200.92,ok
PRJ-QM-001,2025-03-21,C,site_preparation,213.59,33.1,13.4,10,13.5,1.7,0.55,2.68,206.18,ok
PRJ-QM-001,2025-03-22,A,site_preparation,178.81,37.11,7.1,12,13.2,0.0,0.55,2.68,197.8,ok
PRJ-QM-001,2025-03-22,B,site_preparation,187.02,30.44,9.6,12,13.2,0.0,0.55,2.68,184.44,ok
PRJ-QM-001,2025-03-22,C,site_preparation,84.66,21.66,2.5,13,13.2,0.0,0.55,2.68,104.61,ok
PRJ-QM-001,2025-03-23,A,site_preparation,115.18,27.11,4.7,13,12.9,0.0,0.55,2.68,136.0,ok
PRJ-QM-001,2025-03-23,B,site_preparation,82.57,30.85,2.9,2,12.9,0.0,0.55,2.68,128.09,ok
PRJ-QM-001,2025-03-23,C,site_preparation,118.94,9.68,4.7,4,12.9,0.0,0.55,2.68,91.36,ok
PRJ-QM-001,2025-03-24,A,site_preparation,264.37,41.03,12.6,19,14.6,0.0,0.55,2.68,255.36,ok
PRJ-QM-001,2025-03-24,B,site_preparation,235.7,42.52,10.8,18,14.6,0.0,0.55,2.68,243.59,ok
PRJ-QM-001,2025-03-24,C,site_preparation,209.01,31.85,9.0,14,14.6,0.0,0.55,2.68,200.31,ok
PRJ-QM-001,2025-03-25,A,site_preparation,174.34,57.05,11.9,16,14.0,9.8,0.55,2.68,248.78,ok
PRJ-QM-001,2025-03-25,B,site_preparation,262.14,33.14,7.0,14,14.0,9.8,0.55,2.68,232.99,ok
PRJ-QM-001,2025-03-25,C,site_preparation,209.33,34.96,13.3,9,14.0,9.8,0.55,2.68,208.82,ok
PRJ-QM-001,2025-03-26,A,site_preparation,234.7,39.92,9.6,21,12.3,10.8,0.55,2.68,236.07,ok
PRJ-QM-001,2025-03-26,B,site_preparation,217.69,32.04,6.4,5,12.3,10.8,0.55,2.68,205.6,ok
PRJ-QM-001,2025-03-26,C,site_preparation,192.0,28.06,7.3,14,12.3,10.8,0.55,2.68,180.8,ok
PRJ-QM-001,2025-03-27,A,site_preparation,230.67,44.91,8.7,20,13.5,11.1,0.55,2.68,247.23,ok
PRJ-QM-001,2025-03-27,B,site_preparation,221.49,33.18,10.6,15,13.5,11.1,0.55,2.68,210.74,ok
PRJ-QM-001,2025-03-27,C,site_preparation,204.57,37.42,5.9,14,13.5,11.1,0.55,2.68,212.8,ok
PRJ-QM-001,2025-03-28,A,site_preparation,233.26,49.67,10.8,16,14.0,19.4,0.55,2.68,261.41,ok
PRJ-QM-001,2025-03-28,B,site_preparation,216.71,35.18,6.9,14,14.0,19.4,0.55,2.68,213.47,ok
PRJ-QM-001,2025-03-28,C,site_preparation,113.57,52.73,4.4,8,14.0,19.4,0.55,2.68,203.78,ok
PRJ-QM-001,2025-03-29,A,site_preparation,155.42,37.22,6.2,11,15.0,0.0,0.55,2.68,185.23,ok
PRJ-QM-001,2025-03-29,B,site_preparation,162.36,17.36,6.6,15,15.0,0.0,0.55,2.68,135.82,ok
PRJ-QM-001,2025-03-29,C,site_preparation,97.72,29.67,4.9,8,15.0,0.0,0.55,2.68,133.26,ok
PRJ-QM-001,2025-03-30,A,site_preparation,120.58,21.71,2.7,12,13.5,0.0,0.55,2.68,124.5,ok
PRJ-QM-001,2025-03-30,B,site_preparation,97.6,22.97,5.4,8,13.5,0.0,0.55,2.68,115.24,ok
PRJ-QM-001,2025-03-30,C,site_preparation,117.18,32.23,3.3,6,13.5,0.0,0.55,2.68,150.83,ok
PRJ-QM-001,2025-03-31,A,site_preparation,242.9,62.39,15.3,18,15.0,0.0,0.55,2.68,300.8,ok
PRJ-QM-001,2025-03-31,B,site_preparation,203.88,50.66,9.6,16,15.0,0.0,0.55,2.68,247.9,ok
PRJ-QM-001,2025-03-31,C,site_preparation,151.91,32.32,7.2,11,15.0,0.0,0.55,2.68,170.17,ok
PRJ-QM-001,2025-04-01,A,site_preparation,176.18,37.74,9.9,19,15.6,0.0,0.55,2.68,198.04,ok
PRJ-QM-001,2025-04-01,B,site_preparation,216.67,51.16,12.2,19,15.6,0.0,0.55,2.68,256.28,ok
PRJ-QM-001,2025-04-01,C,site_preparation,237.77,36.55,11.6,17,15.6,0.0,0.55,2.68,228.73,ok
PRJ-QM-001,2025-04-02,A,foundation,379.4,88.5,20.5,37,15.9,0.0,0.55,2.68,445.85,ok
PRJ-QM-001,2025-04-02,B,foundation,369.15,102.13,19.1,36,15.9,0.0,0.55,2.68,476.74,ok
PRJ-QM-001,2025-04-02,C,foundation,346.68,76.96,18.4,35,15.9,0.0,0.55,2.68,396.93,ok
PRJ-QM-001,2025-04-03,A,foundation,400.08,87.75,18.5,34,15.4,5.8,0.55,2.68,455.21,ok
PRJ-QM-001,2025-04-03,B,foundation,362.77,87.44,15.3,30,15.4,5.8,0.55,2.68,433.86,ok
PRJ-QM-001,2025-04-03,C,foundation,350.16,61.94,18.9,23,15.4,5.8,0.55,2.68,358.59,ok
PRJ-QM-001,2025-04-04,A,foundation,367.65,102.83,20.9,39,18.7,0.0,0.55,2.68,477.79,ok
PRJ-QM-001,2025-04-04,B,foundation,388.48,90.82,20.9,32,18.7,0.0,0.55,2.68,457.06,ok
PRJ-QM-001,2025-04-04,C,foundation,360.49,88.48,16.6,30,18.7,0.0,0.55,2.68,435.4,ok
PRJ-QM-001,2025-04-05,A,foundation,381.56,110.78,19.9,27,17.5,0.0,0.55,2.68,506.75,ok
PRJ-QM-001,2025-04-05,B,foundation,266.38,78.09,12.3,21,17.5,0.0,0.55,2.68,355.79,ok
PRJ-QM-001,2025-04-05,C,foundation,312.87,57.57,18.0,28,17.5,0.0,0.55,2.68,326.37,ok
PRJ-QM-001,2025-04-06,A,foundation,265.79,70.78,11.3,21,18.1,0.0,0.55,2.68,335.87,ok
PRJ-QM-001,2025-04-06,B,foundation,234.25,55.51,11.7,11,18.1,0.0,0.55,2.68,277.6,ok
PRJ-QM-001,2025-04-06,C,foundation,211.45,47.86,5.7,16,18.1,0.0,0.55,2.68,244.56,ok
PRJ-QM-001,2025-04-07,A,foundation,500.58,131.74,26.1,48,17.5,0.0,0.55,2.68,628.38,ok
PRJ-QM-001,2025-04-07,B,foundation,386.72,91.81,19.8,30,17.5,0.0,0.55,2.68,458.75,ok
PRJ-QM-001,2025-04-07,C,foundation,421.23,95.41,19.9,35,17.5,0.0,0.55,2.68,487.38,ok
PRJ-QM-001,2025-04-08,A,foundation,505.9,131.78,30.9,52,18.5,0.0,0.55,2.68,631.42,ok
PRJ-QM-001,2025-04-08,B,foundation,414.68,107.05,24.3,43,18.5,0.0,0.55,2.68,514.97,ok
PRJ-QM-001,2025-04-08,C,foundation,358.08,101.75,21.6,37,18.5,0.0,0.55,2.68,469.63,ok
PRJ-QM-001,2025-04-09,A,foundation,1072.54,104.72,20.8,51,21.0,0.0,0.55,2.68,870.55,ok
PRJ-QM-001,2025-04-09,B,foundation,369.48,102.87,18.1,32,21.0,0.0,0.55,2.68,478.91,ok
PRJ-QM-001,2025-04-09,C,foundation,321.11,87.01,18.2,29,21.0,0.0,0.55,2.68,409.8,ok
PRJ-QM-001,2025-04-10,A,foundation,436.3,123.06,23.2,42,19.4,5.3,0.55,2.68,569.77,ok
PRJ-QM-001,2025-04-10,B,foundation,393.27,102.35,21.5,36,19.4,5.3,0.55,2.68,490.6,ok
PRJ-QM-001,2025-04-10,C,foundation,368.14,84.55,21.5,33,19.4,5.3,0.55,2.68,429.07,ok
PRJ-QM-001,2025-04-11,A,foundation,410.64,113.04,24.0,37,19.0,0.0,0.55,2.68,528.8,ok
PRJ-QM-001,2025-04-11,B,foundation,409.2,107.44,22.0,36,19.0,0.0,0.55,2.68,513.0,ok
PRJ-QM-001,2025-04-11,C,foundation,361.74,86.71,18.2,30,19.0,0.0,0.55,2.68,431.34,ok
PRJ-QM-001,2025-04-12,A,foundation,316.2,91.72,16.6,25,18.0,0.0,0.55,2.68,419.72,ok
PRJ-QM-001,2025-04-12,B,foundation,202.32,77.43,10.6,22,18.0,0.0,0.55,2.68,318.79,ok
PRJ-QM-001,2025-04-12,C,foundation,258.84,71.8,12.5,21,18.0,0.0,0.55,2.68,334.79,ok
PRJ-QM-001,2025-04-13,A,foundation,220.55,73.95,8.9,11,19.5,0.0,0.55,2.68,319.49,ok
PRJ-QM-001,2025-04-13,B,foundation,248.57,74.64,10.1,9,19.5,0.0,0.55,2.68,336.75,ok
PRJ-QM-001,2025-04-13,C,foundation,155.64,33.78,5.1,14,19.5,0.0,0.55,2.68,176.13,ok
PRJ-QM-001,2025-04-14,A,foundation,414.94,112.09,21.3,37,17.2,0.0,0.55,2.68,528.62,ok
PRJ-QM-001,2025-04-14,B,foundation,384.19,99.53,20.6,35,17.2,0.0,0.55,2.68,478.04,ok
PRJ-QM-001,2025-04-14,C,foundation,315.32,70.74,16.1,29,17.2,0.0,0.55,2.68,363.01,ok
PRJ-QM-001,2025-04-15,A,foundation,470.03,104.08,23.0,37,19.2,2.6,0.55,2.68,537.45,ok
PRJ-QM-001,2025-04-15,B,foundation,396.67,109.53,24.5,46,19.2,2.6,0.55,2.68,511.71,ok
PRJ-QM-001,2025-04-15,C,foundation,329.75,92.84,17.5,27,19.2,2.6,0.55,2.68,430.17,ok
PRJ-QM-001,2025-04-16,A,foundation,468.96,120.32,26.6,39,17.3,0.0,0.55,2.68,580.39,ok
PRJ-QM-001,2025-04-16,B,foundation,325.38,92.0,19.9,39,17.3,0.0,0.55,2.68,425.52,ok
PRJ-QM-001,2025-04-16,C,foundation,370.75,87.78,20.9,38,17.3,0.0,0.55,2.68,439.16,ok
PRJ-QM-001,2025-04-17,A,foundation,473.41,118.04,26.6,39,16.7,0.0,0.55,2.68,576.72,ok
PRJ-QM-001,2025-04-17,B,foundation,446.36,111.75,25.2,39,16.7,0.0,0.55,2.68,544.99,ok
PRJ-QM-001,2025-04-17,C,foundation,480.32,107.11,23.4,30,16.7,0.0,0.55,2.68,551.23,ok
PRJ-QM-001,2025-04-18,A,foundation,363.9,86.44,16.1,36,16.7,0.0,0.55,2.68,431.8,ok
PRJ-QM-001,2025-04-18,B,foundation,379.02,81.88,19.1,35,16.7,0.0,0.55,2.68,427.9,ok
PRJ-QM-001,2025-04-18,C,foundation,329.06,91.65,15.0,26,16.7,0.0,0.55,2.68,426.61,ok
PRJ-QM-001,2025-04-19,A,foundation,390.05,112.97,24.1,37,17.3,0.0,0.55,2.68,517.29,ok
PRJ-QM-001,2025-04-19,B,foundation,349.83,87.08,15.6,28,17.3,0.0,0.55,2.68,425.78,ok
PRJ-QM-001,2025-04-19,C,foundation,298.75,77.38,14.5,26,17.3,0.0,0.55,2.68,371.69,ok
PRJ-QM-001,2025-04-20,A,foundation,261.0,68.65,7.6,15,18.9,0.5,0.55,2.68,327.53,ok
PRJ-QM-001,2025-04-20,B,foundation,183.15,47.43,7.0,11,18.9,0.5,0.55,2.68,227.84,ok
PRJ-QM-001,2025-04-20,C,foundation,151.42,,5.4,15,18.9,0.5,0.55,2.68,,missing_diesel
PRJ-QM-001,2025-04-21,A,foundation,407.04,113.98,21.1,41,19.7,0.0,0.55,2.68,529.34,ok
PRJ-QM-001,2025-04-21,B,foundation,350.72,100.22,22.9,38,19.7,0.0,0.55,2.68,461.49,ok
PRJ-QM-001,2025-04-21,C,foundation,314.86,91.77,22.1,33,19.7,0.0,0.55,2.68,419.12,ok
PRJ-QM-001,2025-04-22,A,foundation,405.01,112.75,24.5,39,19.4,0.0,0.55,2.68,524.93,ok
PRJ-QM-001,2025-04-22,B,foundation,362.71,83.38,18.5,37,19.4,0.0,0.55,2.68,422.95,ok
PRJ-QM-001,2025-04-22,C,foundation,358.14,86.83,18.8,35,19.4,0.0,0.55,2.68,429.68,ok
PRJ-QM-001,2025-04-23,A,foundation,432.59,108.2,23.8,37,20.7,0.0,0.55,2.68,527.9,ok
PRJ-QM-001,2025-04-23,B,foundation,343.8,101.73,22.6,26,20.7,0.0,0.55,2.68,461.73,ok
PRJ-QM-001,2025-04-23,C,foundation,318.9,77.13,17.6,32,20.7,0.0,0.55,2.68,382.1,ok
PRJ-QM-001,2025-04-24,A,foundation,402.62,93.88,19.6,41,21.1,0.0,0.55,2.68,473.04,ok
PRJ-QM-001,2025-04-24,B,foundation,372.93,80.0,14.8,35,21.1,0.0,0.55,2.68,419.51,ok
PRJ-QM-001,2025-04-24,C,foundation,394.98,100.0,20.0,35,21.1,0.0,0.55,2.68,485.24,ok
PRJ-QM-001,2025-04-25,A,foundation,519.52,111.74,26.9,39,23.8,0.0,0.55,2.68,585.2,ok
PRJ-QM-001,2025-04-25,B,foundation,294.19,91.15,18.4,29,23.8,0.0,0.55,2.68,406.09,ok
PRJ-QM-001,2025-04-25,C,foundation,338.31,91.96,21.6,29,23.8,0.0,0.55,2.68,432.52,ok
PRJ-QM-001,2025-04-26,A,foundation,340.72,91.54,17.7,31,22.5,0.0,0.55,2.68,432.72,ok
PRJ-QM-001,2025-04-26,B,foundation,356.41,84.61,17.3,30,22.5,0.0,0.55,2.68,422.78,ok
PRJ-QM-001,2025-04-26,C,foundation,241.18,76.51,13.9,20,22.5,0.0,0.55,2.68,337.7,ok
PRJ-QM-001,2025-04-27,A,foundation,236.16,60.36,10.7,17,21.3,0.0,0.55,2.68,291.65,ok
PRJ-QM-001,2025-04-27,B,foundation,208.34,51.08,7.9,19,21.3,0.0,0.55,2.68,251.48,ok
PRJ-QM-001,2025-04-27,C,foundation,122.0,52.37,0.5,9,21.3,0.0,0.55,2.68,207.45,ok
PRJ-QM-001,2025-04-28,A,foundation,409.23,103.49,23.6,40,23.6,0.0,0.55,2.68,502.43,ok
PRJ-QM-001,2025-04-28,B,foundation,423.62,107.45,22.3,40,23.6,0.0,0.55,2.68,520.96,ok
PRJ-QM-001,2025-04-28,C,foundation,343.25,90.83,16.4,34,23.6,0.0,0.55,2.68,432.21,ok
PRJ-QM-001,2025-04-29,A,foundation,379.04,111.25,20.4,36,23.8,4.7,0.55,2.68,506.62,ok
PRJ-QM-001,2025-04-29,B,foundation,372.3,93.05,18.7,33,23.8,4.7,0.55,2.68,454.14,ok
PRJ-QM-001,2025-04-29,C,foundation,365.51,73.1,18.9,28,23.8,4.7,0.55,2.68,396.94,ok
PRJ-QM-001,2025-04-30,A,foundation,393.66,119.04,20.2,33,24.2,10.4,0.55,2.68,535.54,ok
PRJ-QM-001,2025-04-30,B,foundation,317.33,85.63,13.0,25,24.2,10.4,0.55,2.68,404.02,ok
PRJ-QM-001,2025-04-30,C,foundation,329.39,86.16,14.1,35,24.2,10.4,0.55,2.68,412.07,ok
PRJ-QM-001,2025-05-01,A,foundation,416.09,113.8,22.9,36,25.0,0.0,0.55,2.68,533.83,ok
PRJ-QM-001,2025-05-01,B,foundation,377.62,104.96,18.6,33,25.0,0.0,0.55,2.68,488.98,ok
PRJ-QM-001,2025-05-01,C,foundation,327.3,77.59,16.1,27,25.0,0.0,0.55,2.68,387.96,ok
PRJ-QM-001,2025-05-02,A,foundation,427.73,111.69,25.7,40,22.8,3.8,0.55,2.68,534.58,ok
PRJ-QM-001,2025-05-02,B,foundation,364.78,88.84,17.1,31,22.8,3.8,0.55,2.68,438.72,ok
PRJ-QM-001,2025-05-02,C,foundation,345.79,90.79,21.0,31,22.8,3.8,0.55,2.68,433.5,ok
PRJ-QM-001,2025-05-03,A,foundation,400.45,90.86,20.6,32,21.6,0.0,0.55,2.68,463.75,ok
PRJ-QM-001,2025-05-03,B,foundation,264.65,71.01,12.8,26,21.6,0.0,0.55,2.68,335.86,ok
PRJ-QM-001,2025-05-03,C,foundation,299.57,73.97,16.1,24,21.6,0.0,0.55,2.68,363.0,ok
PRJ-QM-001,2025-05-04,A,foundation,272.95,78.71,10.1,23,23.6,0.0,0.55,2.68,361.07,ok
PRJ-QM-001,2025-05-04,B,foundation,238.13,66.69,11.7,15,23.6,0.0,0.55,2.68,309.7,ok
PRJ-QM-001,2025-05-04,C,foundation,173.75,59.73,8.3,18,23.6,0.0,0.55,2.68,255.64,ok
PRJ-QM-001,2025-05-05,A,foundation,529.1,124.55,29.4,49,24.0,0.0,0.55,2.68,624.8,ok
PRJ-QM-001,2025-05-05,B,foundation,509.78,113.51,28.3,43,24.0,0.0,0.55,2.68,584.59,ok
PRJ-QM-001,2025-05-05,C,foundation,430.8,108.38,25.2,35,24.0,0.0,0.55,2.68,527.4,ok
PRJ-QM-001,2025-05-06,A,foundation,473.05,122.66,25.5,52,18.8,0.0,0.55,2.68,588.91,ok
PRJ-QM-001,2025-05-06,B,foundation,452.02,105.33,23.8,44,18.8,0.0,0.55,2.68,530.9,ok
PRJ-QM-001,2025-05-06,C,foundation,364.16,92.27,24.0,35,18.8,0.0,0.55,2.68,447.57,ok
PRJ-QM-001,2025-05-07,A,foundation,490.32,105.23,27.1,43,20.3,0.0,0.55,2.68,551.69,ok
PRJ-QM-001,2025-05-07,B,foundation,376.2,103.71,21.0,39,20.3,0.0,0.55,2.68,484.85,ok
PRJ-QM-001,2025-05-07,C,foundation,366.72,91.33,20.6,34,20.3,0.0,0.55,2.68,446.46,ok
PRJ-QM-001,2025-05-08,A,foundation,450.78,107.26,26.0,42,20.3,0.0,0.55,2.68,535.39,ok
PRJ-QM-001,2025-05-08,B,foundation,346.76,81.97,15.5,45,20.3,0.0,0.55,2.68,410.4,ok
PRJ-QM-001,2025-05-08,C,foundation,291.12,85.1,21.2,30,20.3,0.0,0.55,2.68,388.18,ok
PRJ-QM-001,2025-05-09,A,foundation,417.5,88.25,17.6,33,23.5,11.8,0.55,2.68,466.14,ok
PRJ-QM-001,2025-05-09,B,foundation,377.81,97.22,18.9,35,23.5,11.8,0.55,2.68,468.35,ok
PRJ-QM-001,2025-05-09,C,foundation,378.82,86.74,17.2,29,23.5,11.8,0.55,2.68,440.81,ok
PRJ-QM-001,2025-05-10,A,foundation,347.69,93.55,18.0,25,23.2,0.0,0.55,2.68,441.94,ok
PRJ-QM-001,2025-05-10,B,foundation,319.4,71.24,14.1,26,23.2,0.0,0.55,2.68,366.59,ok
PRJ-QM-001,2025-05-10,C,foundation,302.3,80.91,16.3,25,23.2,0.0,0.55,2.68,383.1,ok
PRJ-QM-001,2025-05-11,A,foundation,283.58,63.91,11.4,16,21.4,0.0,0.55,2.68,327.25,ok
PRJ-QM-001,2025-05-11,B,foundation,179.76,61.62,7.5,13,21.4,0.0,0.55,2.68,264.01,ok
PRJ-QM-001,2025-05-11,C,foundation,227.59,66.75,11.5,14,21.4,0.0,0.55,2.68,304.06,ok
PRJ-QM-001,2025-05-12,A,foundation,474.21,115.7,27.1,39,23.2,0.0,0.55,2.68,570.89,ok
PRJ-QM-001,2025-05-12,B,foundation,335.5,82.66,17.4,40,23.2,0.0,0.55,2.68,406.05,ok
PRJ-QM-001,2025-05-12,C,foundation,300.32,81.51,18.7,31,23.2,0.0,0.55,2.68,383.62,ok
PRJ-QM-001,2025-05-13,A,foundation,490.02,106.43,27.4,36,23.7,0.0,0.55,2.68,554.74,ok
PRJ-QM-001,2025-05-13,B,foundation,376.69,95.99,23.2,38,23.7,0.0,0.55,2.68,464.43,ok
PRJ-QM-001,2025-05-13,C,foundation,344.52,94.85,19.5,26,23.7,0.0,0.55,2.68,443.68,ok
PRJ-QM-001,2025-05-14,A,foundation,391.36,109.91,21.9,33,26.9,0.0,0.55,2.68,509.81,ok
PRJ-QM-001,2025-05-14,B,foundation,410.91,101.25,22.0,39,26.9,0.0,0.55,2.68,497.35,ok
PRJ-QM-001,2025-05-14,C,foundation,362.98,78.21,15.1,28,26.9,0.0,0.55,2.68,409.24,ok
PRJ-QM-001,2025-05-15,A,foundation,459.07,101.63,22.2,36,25.9,0.0,0.55,2.68,524.86,ok
PRJ-QM-001,2025-05-15,B,foundation,347.46,257.01,19.6,37,25.9,0.0,0.55,2.68,879.89,ok
PRJ-QM-001,2025-05-15,C,foundation,369.25,81.7,18.9,32,25.9,0.0,0.55,2.68,422.04,ok
PRJ-QM-001,2025-05-16,A,foundation,441.6,106.32,27.1,29,26.5,0.0,0.55,2.68,527.82,ok
PRJ-QM-001,2025-05-16,B,foundation,452.03,104.85,23.4,37,26.5,0.0,0.55,2.68,529.61,ok
PRJ-QM-001,2025-05-16,C,foundation,310.44,89.36,16.9,31,26.5,0.0,0.55,2.68,410.23,ok
PRJ-QM-001,2025-05-17,A,foundation,399.91,111.35,21.0,39,24.9,0.0,0.55,2.68,518.37,ok
